id_aluno,id_curso,id_grupo,id_modalidade,id_turno,id_status,curso,grupo,modalidade,turno,status_matricula,dt_matricula,dt_cancelamento,motivo_cancelamento,idade,genero,mensalidade,desconto,mensalidade_paga
1,28,6,1,2,3,LETRAS - INGLES,CIENCIAS HUMANAS,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,50,M,1548.84,0.45,851.86
2,41,1,3,3,1,SERVIÇOS JUDICIAIS,CIENCIAS JURIDICAS,EAD,NOITE,MATRICULADO,2019-01-01,,,23,M,3442.86,0.39,2100.14
3,45,2,1,2,1,COMUNICACAO E INTELIGENCIA DE MERCADO,COMUNICACAO E ARTES,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,23,M,2190.26,0.02,2146.45
4,17,5,1,2,4,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2023-08-07,,39,M,3965.14,0.43,2260.13
5,24,6,1,1,4,FILOSOFIA,CIENCIAS HUMANAS,PRESENCIAL,MANHA,TRANCADO,2019-01-01,2020-02-07,,45,M,3600.85,0.16,3024.71
6,87,3,1,2,2,GESTAO DE TURISMO,TURISMO E HOSPITALIDADE,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2019-06-11,EMPREGO,18,F,2708.27,0.33,1814.54
7,87,3,1,3,1,GESTAO DE TURISMO,TURISMO E HOSPITALIDADE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,33,F,4635.03,0.55,2085.76
8,82,9,3,3,4,SEGURANCA DA INFORMACAO,TI E COMPUTACAO,EAD,NOITE,TRANCADO,2019-01-01,2022-08-01,,37,M,1728.73,0.41,1019.95
9,36,1,1,2,4,DIREITO,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2020-05-22,,53,F,2149.29,0.23,1654.95
10,22,5,1,2,1,ARTES VISUAIS,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,52,F,3589.39,0.04,3445.81
11,17,5,3,1,3,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,MANHA,FORMADO,2019-01-01,,,21,F,4953.47,0.58,2080.46
12,20,5,1,1,4,GESTAO HOSPITALAR,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,MANHA,TRANCADO,2019-01-01,2020-02-06,,40,F,2771.12,0.54,1274.72
13,12,5,3,3,2,BIOMEDICINA,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,NOITE,CANCELADO,2019-01-01,2020-12-11,EMPREGO,32,F,1450.79,0.21,1146.12
14,87,3,1,3,1,GESTAO DE TURISMO,TURISMO E HOSPITALIDADE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,44,M,1090.59,0.49,556.2
15,40,1,1,3,3,SEGURANCA PUBLICA,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,32,F,2237.03,0.54,1029.03
